                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.57982,                0.62899,                 1.0776,                0.53991,                0.63785,                0.55758,                0.32894,                 1.2801,                 1.0504,                 1.4825,               0.040051,              0.0066573,              0.0066573
                      2,                0.59605,                0.64455,                 1.0858,                0.58358,                0.62497,                0.61543,                 0.3333,                 1.3277,                 1.1187,                 1.5646,               0.010045,               0.009984,               0.009984
                      3,                0.61892,                0.67743,                 1.0967,                0.56687,                0.64471,                0.59573,                0.34751,                  1.315,                 1.0441,                  1.531,              0.0099851,              0.0099851,              0.0099851
                      4,                0.62601,                0.68901,                 1.1037,                0.74885,                0.57126,                0.59753,                0.33435,                 1.3664,                 1.0889,                 1.5956,              0.0099851,              0.0099851,              0.0099851
                      5,                0.61847,                0.68847,                  1.099,                 0.5085,                0.51612,                0.51594,                0.29772,                 1.3913,                 1.2154,                 1.6237,              0.0099802,              0.0099802,              0.0099802
                      6,                0.62486,                0.69314,                 1.1033,                0.58912,                0.55393,                0.59489,                0.33925,                 1.3506,                 1.0832,                 1.5847,              0.0099753,              0.0099753,              0.0099753
                      7,                0.62831,                0.68903,                 1.1044,                0.51219,                0.57346,                0.54443,                0.31169,                 1.3652,                 1.1917,                 1.6267,              0.0099703,              0.0099703,              0.0099703
                      8,                0.62568,                0.69154,                 1.1015,                0.56644,                0.51285,                0.51571,                0.29162,                  1.354,                 1.1886,                 1.6037,              0.0099654,              0.0099654,              0.0099654
                      9,                0.64194,                0.71614,                 1.1161,                0.53154,                0.54063,                0.55944,                0.31935,                 1.3636,                 1.1842,                 1.5896,              0.0099604,              0.0099604,              0.0099604
                     10,                0.64574,                0.71443,                 1.1169,                0.57577,                0.51658,                0.56967,                0.33024,                 1.3188,                 1.1242,                 1.5083,              0.0099555,              0.0099555,              0.0099555
                     11,                0.64217,                 0.7198,                 1.1181,                0.88295,                0.45827,                0.55009,                0.31737,                  1.356,                 1.1162,                 1.5674,              0.0099505,              0.0099505,              0.0099505
                     12,                0.64114,                0.71417,                 1.1148,                 0.7801,                0.51889,                0.55916,                0.31122,                 1.3943,                 1.0824,                 1.5952,              0.0099456,              0.0099456,              0.0099456
                     13,                0.63868,                0.70921,                 1.1165,                 0.5333,                0.52965,                 0.5059,                0.28868,                 1.3871,                 1.1358,                 1.6288,              0.0099406,              0.0099406,              0.0099406
                     14,                0.63906,                0.70751,                 1.1144,                0.66137,                0.54427,                0.58702,                0.33755,                 1.3264,                 1.1241,                 1.5521,              0.0099357,              0.0099357,              0.0099357
                     15,                0.63854,                0.70948,                 1.1115,                 0.8023,                0.47532,                0.54031,                 0.3205,                 1.3197,                 1.0714,                 1.5453,              0.0099307,              0.0099307,              0.0099307
                     16,                 0.6395,                0.71259,                 1.1128,                0.58501,                0.55065,                0.56597,                0.31622,                 1.3074,                  1.123,                 1.5114,              0.0099258,              0.0099258,              0.0099258
                     17,                0.63551,                0.70448,                 1.1088,                0.57395,                0.51174,                0.55148,                0.31773,                 1.3406,                 1.1399,                 1.5568,              0.0099208,              0.0099208,              0.0099208
                     18,                0.63837,                0.70321,                 1.1105,                0.58209,                0.55194,                  0.564,                0.31537,                 1.3481,                  1.123,                 1.5533,              0.0099159,              0.0099159,              0.0099159
                     19,                0.63167,                0.70161,                 1.1057,                0.80821,                 0.4881,                 0.5605,                0.33045,                 1.3155,                 1.1113,                 1.5378,              0.0099109,              0.0099109,              0.0099109
                     20,                 0.6286,                0.69451,                 1.1057,                0.61743,                0.52905,                0.57659,                0.34011,                 1.3192,                 1.0742,                 1.5459,               0.009906,               0.009906,               0.009906
                     21,                0.62645,                0.68845,                 1.1022,                0.77816,                0.55517,                0.59021,                0.35584,                 1.3034,                0.98434,                 1.5255,               0.009901,               0.009901,               0.009901
