                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.7632,                 6.9438,                 4.3018,                  7e-05,                  0.015,                  4e-05,                  1e-05,                  4.667,                 5.5682,                 4.1261,                  0.091,                  0.001,                  0.001
                      1,                  4.624,                 5.4432,                 4.2356,                0.00011,                  0.005,                  6e-05,                  2e-05,                 4.6343,                 4.9862,                 4.0897,               0.081093,              0.0020931,              0.0020931
                      2,                 4.7276,                 4.9506,                 4.2271,                0.00011,                  0.005,                  6e-05,                  2e-05,                 4.6147,                 4.8401,                 4.0621,               0.071179,              0.0031789,              0.0031789
                      3,                 4.5028,                 4.7749,                 4.2078,                0.00011,                  0.005,                  6e-05,                  2e-05,                 4.5991,                 4.7793,                 4.0405,               0.061257,              0.0042574,              0.0042574
                      4,                 4.3954,                  4.618,                 4.1205,                 0.0001,                  0.005,                  6e-05,                  2e-05,                 4.5784,                 4.7254,                 4.0134,               0.051329,              0.0053287,              0.0053287
                      5,                 4.2483,                 4.5457,                 4.0987,                0.00011,                  0.005,                  6e-05,                  2e-05,                 4.5693,                 4.7014,                  3.998,               0.041393,              0.0063927,              0.0063927
                      6,                 4.4991,                 4.4435,                 3.9834,                0.00011,                  0.005,                  6e-05,                  2e-05,                 4.5656,                 4.6855,                 3.9878,                0.03145,              0.0074495,              0.0074495
                      7,                 4.2756,                 4.3818,                  3.876,                0.00011,                  0.005,                  6e-05,                  2e-05,                 4.5543,                 4.6435,                 3.9671,               0.021499,               0.008499,               0.008499
                      8,                 4.0628,                 4.2163,                  3.736,                 0.0002,                   0.01,                 0.0001,                  3e-05,                 4.4677,                 4.5644,                 3.9186,               0.011541,              0.0095413,              0.0095413
                      9,                 3.9977,                 4.1136,                 3.5445,                0.00106,                  0.055,                0.00108,                0.00032,                 4.2316,                  4.492,                 3.8272,               0.009703,               0.009703,               0.009703
                     10,                 3.8323,                  4.136,                 3.4092,                0.00235,                  0.225,                0.00253,                0.00059,                 3.7382,                  4.351,                 3.5253,               0.009703,               0.009703,               0.009703
                     11,                 3.5591,                 3.9082,                 3.1891,                 0.0113,                  0.015,                0.00194,                0.00048,                 3.6498,                 4.3372,                 3.5081,                0.00967,                0.00967,                0.00967
                     12,                 3.5789,                 3.8478,                 3.1441,                0.00149,                   0.33,                0.00103,                0.00036,                   3.67,                 76.609,                 3.7338,               0.009637,               0.009637,               0.009637
                     13,                 3.5829,                 4.0851,                 3.1401,                0.00126,                   0.27,                0.00087,                0.00034,                 3.6879,                 34.834,                   5.26,               0.009604,               0.009604,               0.009604
                     14,                 3.4713,                 3.8112,                 3.0453,                0.01691,                   0.09,                0.00721,                 0.0016,                 3.4242,                 4.6532,                 3.3255,               0.009571,               0.009571,               0.009571
                     15,                 3.3119,                 3.5986,                 2.8527,                0.00013,                  0.035,                  7e-05,                  3e-05,                 4.3502,                 3896.8,                 11.871,               0.009538,               0.009538,               0.009538
                     16,                  3.379,                  3.625,                 2.7658,                0.00095,                  0.085,                0.00053,                0.00018,                 4.2367,                 12.315,                 8.6603,               0.009505,               0.009505,               0.009505
                     17,                 3.3449,                 3.7576,                 2.8955,                0.05916,                  0.015,                0.00389,                0.00115,                 3.4421,                 5.5588,                 3.4182,               0.009472,               0.009472,               0.009472
                     18,                 3.2637,                 3.6629,                 2.9495,                0.02186,                   0.01,                0.00559,                0.00175,                 3.7136,                 8.3617,                 5.4142,               0.009439,               0.009439,               0.009439
                     19,                 3.1891,                 3.5471,                 2.8234,                0.04914,                  0.045,                0.00652,                0.00206,                 3.4658,                 6.4376,                 3.6507,               0.009406,               0.009406,               0.009406
                     20,                 3.1983,                 3.6105,                 2.7749,                0.02164,                   0.02,                0.00308,                0.00107,                 3.5717,                 4.3758,                 3.6072,               0.009373,               0.009373,               0.009373
                     21,                  3.048,                 3.5059,                 2.7936,                 0.0619,                  0.035,                 0.0132,                 0.0039,                 3.4129,                 6.5213,                 3.2802,                0.00934,                0.00934,                0.00934
                     22,                 2.9629,                 3.2459,                 2.5254,                0.04135,                   0.12,                0.01958,                0.00606,                 3.0519,                 17.828,                 2.8281,               0.009307,               0.009307,               0.009307
                     23,                 2.9861,                 3.4737,                 2.6558,                0.08521,                  0.075,                0.02406,                0.00696,                 2.9442,                 3.9173,                  2.732,               0.009274,               0.009274,               0.009274
                     24,                 2.9863,                 3.4571,                  2.648,                0.04931,                  0.085,                0.02261,                0.00725,                 2.9365,                 5.1792,                 2.6492,               0.009241,               0.009241,               0.009241
                     25,                 2.9625,                 3.4505,                 2.5389,                0.09035,                   0.16,                0.04051,                0.01248,                 2.8441,                 3.7548,                 2.6507,               0.009208,               0.009208,               0.009208
                     26,                 3.0374,                 3.3307,                 2.6093,                0.09692,                   0.11,                0.03988,                0.01334,                 2.8484,                 3.9188,                 2.6687,               0.009175,               0.009175,               0.009175
                     27,                 2.9619,                 3.3952,                 2.4425,                0.11095,                  0.075,                0.04637,                0.01489,                 2.8802,                 3.4132,                 2.7458,               0.009142,               0.009142,               0.009142
                     28,                 2.9488,                   3.32,                 2.4229,                0.08424,                  0.155,                0.03509,                0.01171,                 2.6845,                 4.3107,                 2.4064,               0.009109,               0.009109,               0.009109
                     29,                 2.9519,                 3.2627,                 2.4282,                0.08226,                  0.125,                0.03236,                0.00961,                 2.8229,                 3.7761,                 2.5341,               0.009076,               0.009076,               0.009076
                     30,                 2.8363,                 3.1994,                 2.3381,                0.10931,                  0.115,                0.05337,                0.02241,                 2.6492,                 3.2048,                 2.4218,               0.009043,               0.009043,               0.009043
                     31,                  2.831,                 3.1722,                 2.3649,                0.08938,                   0.13,                0.04486,                0.01973,                 2.6942,                 3.3872,                 2.4576,                0.00901,                0.00901,                0.00901
                     32,                 2.9114,                 3.2469,                 2.3156,                0.21425,                   0.07,                0.05592,                0.02073,                 2.6511,                 3.1684,                 2.3848,               0.008977,               0.008977,               0.008977
                     33,                 2.9018,                 3.2526,                 2.4231,                0.10441,                   0.09,                 0.0377,                0.01168,                 2.7379,                 3.4165,                 2.4309,               0.008944,               0.008944,               0.008944
                     34,                 2.6971,                 3.0325,                 2.2518,                 0.1118,                    0.2,                0.07705,                 0.0252,                 2.5689,                 3.9597,                 2.3434,               0.008911,               0.008911,               0.008911
                     35,                  2.721,                 3.0452,                 2.1958,                0.10149,                   0.15,                0.05014,                0.01629,                 2.5373,                 3.3838,                 2.3093,               0.008878,               0.008878,               0.008878
                     36,                 2.7283,                 3.0117,                 2.2334,                0.13252,                  0.235,                0.09029,                0.03052,                 2.5775,                 3.7653,                 2.3497,               0.008845,               0.008845,               0.008845
                     37,                 2.7518,                 3.2171,                 2.2622,                0.14909,                   0.18,                0.08491,                0.03115,                 2.5071,                 4.9051,                 2.3055,               0.008812,               0.008812,               0.008812
                     38,                 2.7444,                 3.0042,                 2.2947,                 0.1647,                  0.215,                0.10243,                0.03808,                 2.4637,                 4.1227,                 2.2674,               0.008779,               0.008779,               0.008779
                     39,                 2.6572,                 2.9629,                 2.2062,                0.16035,                  0.185,                0.07078,                0.02001,                 2.6448,                 3.5924,                 2.2908,               0.008746,               0.008746,               0.008746
                     40,                 2.9095,                 3.1185,                 2.2758,                0.09536,                  0.185,                0.03633,                0.01174,                 2.7406,                 4.6019,                 2.3454,               0.008713,               0.008713,               0.008713
                     41,                 2.7246,                 3.0631,                 2.2351,                0.21384,                  0.165,                0.09292,                0.03054,                 2.5333,                 3.1282,                 2.2388,                0.00868,                0.00868,                0.00868
                     42,                 2.7082,                 2.9752,                 2.1832,                0.14631,                   0.21,                0.08787,                0.03409,                 2.4519,                   3.21,                 2.1854,               0.008647,               0.008647,               0.008647
                     43,                 2.6951,                 2.9443,                 2.1647,                0.16909,                  0.195,                0.11483,                0.04106,                 2.3291,                 3.0419,                 2.0962,               0.008614,               0.008614,               0.008614
                     44,                 2.5126,                 2.7514,                 2.1423,                0.28929,                  0.195,                0.16499,                0.04842,                 2.3966,                 2.7785,                 2.1374,               0.008581,               0.008581,               0.008581
                     45,                 2.6432,                 2.8874,                 2.0876,                 0.2002,                  0.225,                0.11297,                0.03892,                 2.4117,                 3.7089,                 2.1637,               0.008548,               0.008548,               0.008548
                     46,                 2.6668,                 3.0704,                 2.2609,                0.22186,                   0.23,                0.11849,                0.04141,                 2.5012,                 3.1757,                 2.2574,               0.008515,               0.008515,               0.008515
                     47,                 2.5355,                 2.7593,                 2.0512,                0.24487,                   0.24,                0.14443,                0.04645,                 2.3843,                  2.729,                 2.1229,               0.008482,               0.008482,               0.008482
                     48,                 2.4864,                 2.8632,                 2.2201,                0.17801,                  0.155,                0.08018,                0.02172,                 2.6239,                 3.0826,                 2.2505,               0.008449,               0.008449,               0.008449
                     49,                 2.6016,                 2.8453,                 2.1259,                0.09527,                  0.075,                0.03862,                0.01172,                 2.8855,                 3.6404,                 2.4749,               0.008416,               0.008416,               0.008416
                     50,                 2.5046,                 2.8493,                 2.2077,                0.21939,                   0.16,                0.12354,                0.05124,                 2.4287,                 2.9555,                 2.1656,               0.008383,               0.008383,               0.008383
                     51,                 2.4284,                 2.6678,                 2.0657,                 0.2484,                  0.205,                0.12095,                0.04422,                 2.3247,                 4.0335,                 2.1028,                0.00835,                0.00835,                0.00835
                     52,                 2.4431,                 2.7459,                 2.0582,                0.22381,                  0.225,                0.12235,                0.04771,                 2.2616,                 3.0462,                 2.0346,               0.008317,               0.008317,               0.008317
                     53,                 2.4879,                 2.8458,                 2.0818,                0.24653,                   0.18,                0.12522,                0.04355,                 2.2981,                 2.6647,                 2.0935,               0.008284,               0.008284,               0.008284
                     54,                 2.4724,                 2.7388,                  2.049,                0.20982,                  0.245,                 0.1314,                0.04627,                 2.2844,                 2.5829,                 2.0507,               0.008251,               0.008251,               0.008251
                     55,                 2.4755,                 2.7424,                 2.1076,                0.28432,                   0.22,                0.16747,                0.06308,                 2.2663,                 2.5361,                 2.0345,               0.008218,               0.008218,               0.008218
                     56,                 2.4294,                 2.7234,                 2.0579,                0.28265,                  0.255,                0.19665,                 0.0735,                 2.2119,                   2.52,                 2.0065,               0.008185,               0.008185,               0.008185
                     57,                 2.5545,                 2.7083,                 2.0997,                0.29931,                   0.28,                0.22422,                0.07678,                  2.189,                 2.4442,                 1.9778,               0.008152,               0.008152,               0.008152
                     58,                 2.3938,                 2.5537,                 2.0184,                0.28764,                  0.255,                0.16999,                0.06367,                 2.2841,                  2.667,                 2.0449,               0.008119,               0.008119,               0.008119
                     59,                 2.3971,                 2.6699,                 1.9777,                0.33631,                  0.255,                0.20732,                0.07245,                 2.2968,                 2.5659,                  2.016,               0.008086,               0.008086,               0.008086
                     60,                 2.4141,                 2.6647,                 2.0713,                0.32115,                   0.28,                0.20977,                0.07652,                 2.1502,                 2.4118,                 1.9553,               0.008053,               0.008053,               0.008053
                     61,                 2.3928,                 2.6358,                 1.9899,                0.28602,                0.19029,                0.17502,                 0.0639,                 2.3166,                 2.5426,                 2.0737,                0.00802,                0.00802,                0.00802
                     62,                 2.4162,                 2.6469,                 2.0036,                0.31165,                  0.245,                0.18394,                0.06473,                 2.2416,                 2.4883,                 2.0119,               0.007987,               0.007987,               0.007987
                     63,                 2.4154,                 2.6681,                 1.9843,                0.29681,                  0.295,                0.18325,                0.06751,                 2.2034,                 2.4631,                 1.9785,               0.007954,               0.007954,               0.007954
                     64,                 2.3729,                 2.5395,                 1.9941,                0.29957,                  0.275,                0.21626,                0.08274,                  2.142,                 2.4583,                 1.9555,               0.007921,               0.007921,               0.007921
                     65,                  2.416,                 2.6134,                 1.9863,                0.37376,                  0.225,                0.21022,                0.08012,                  2.223,                 2.6824,                  2.002,               0.007888,               0.007888,               0.007888
                     66,                 2.3625,                 2.5791,                   1.94,                0.31404,                  0.275,                0.21695,                0.07478,                  2.228,                 2.6702,                 2.0432,               0.007855,               0.007855,               0.007855
                     67,                 2.3936,                 2.4858,                 2.0573,                 0.2888,                  0.235,                0.16379,                0.06816,                 2.1873,                 2.5508,                 2.0148,               0.007822,               0.007822,               0.007822
                     68,                 2.3086,                 2.5329,                 2.0059,                0.33988,                   0.32,                0.24933,                0.10298,                 2.1191,                 2.3538,                 1.9507,               0.007789,               0.007789,               0.007789
                     69,                  2.277,                 2.4474,                 1.9123,                0.39234,                  0.295,                0.27743,                 0.1003,                 2.1596,                 2.6738,                 1.9559,               0.007756,               0.007756,               0.007756
                     70,                 2.3452,                 2.4919,                  1.944,                0.31295,                   0.32,                 0.2614,                0.08942,                  2.176,                 2.6234,                 1.9764,               0.007723,               0.007723,               0.007723
                     71,                 2.4003,                 2.4475,                 1.9823,                0.33885,                0.29469,                0.24983,                0.10212,                 2.1414,                 2.2985,                 1.9465,                0.00769,                0.00769,                0.00769
