                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.7829,                 6.9381,                 4.3012,                  7e-05,                  0.015,                  4e-05,                  1e-05,                  4.667,                 5.5794,                 4.1263,                  0.091,                  0.001,                  0.001
                      1,                  4.776,                 5.5745,                 4.2359,                0.00011,                  0.005,                  6e-05,                  2e-05,                 4.6347,                 5.1177,                 4.0921,               0.081099,               0.002099,               0.002099
